pair_id,en_source_id,ne_source_id,en_sentence_index,ne_sentence_index,en_text,ne_text,alignment_score,manual_label,reviewer,notes
EDU_0001_EDU_0002_00011,EDU_0001,EDU_0002,92,10,ii.,"baseline
centre inner scale
outer scale
0° starts mark in outer scale at the same point. In the inner scale, 0°
from the right side and gradually increases up to 180° reaching left
side. Likewise, in the outer scale, 0° starts from left side and gradually
increases up to 180° reaching the right side. Two scales are in the
protractor to measure angles conveniently. Let’s study how to measure
an angle.
To measure ∠AOB
–
Fix the protractor over
the angle keeping the
point O at the centre of
the protractor and OA
along the base line of the
protractor.
–
The line segment OB
passes through 30° in the
inner scale. Therefore,
∠AOB is 30°.

My Mathematics, Grade 4
7
Similarly, to measure ∠PQR
–
Fix the protractor over
the angle keeping the
point Q at the centre of
the protractor and QR
along the base line of the
protractor.
–
The line segment PQ
passes through 40° in the
outer scale. Therefore,
∠PQR is 40°.
1. Measure the size of each of the following angles using protractor

and write in your exercise book.

(a)
(b)
(c)

(d)
(e)
(f)
2.
Measure the size of internal angles of the following triangles:

(a)
(b)
(c)
Exercise 1.4

8
My Mathematics, Grade 4
3.
Find the size of angles in the following figures.

(a)
(b)
While teaching to measure size of angles, to boost the self confidence of the
students, draw the angles of different sizes on the board and ask them to measure
the size. Collect the objects which represent angles found in your surrounding,
and draw or ask them to draw figures of the objects. Then, ask them to measure
the size of the angles.
1.5 Construction of angles in the interval of 10°.
Let's construct an angle of 30°.
-
Take a point O in your exercise book.
-
Draw a straight line segment OP.
-
Place the protractor in such a way that

its centre is at point O and adjust base

line of the protractor along OP.
-
Observe 30° on the inner scale and

mark a point Q against it.
I learnt to measure the
size of angle but I cannot
construct the angle of the
given size, what to do?",0.6445,,,
EDU_0001_EDU_0002_00012,EDU_0001,EDU_0002,104,11,Write the uses of the protractor.,"Don’t worry. It's
easier.
Teaching Instructions:

My Mathematics, Grade 4
9
-
Remove the protractor and join

O and Q using a ruler.
-
The POQ is the required angle of 30°.
-
∠POQ = 30°
1. Construct angles of the following sizes by using the protractor.

(a) 20°
(b) 40°
(c) 50°
(d) 60°
(e) 80°

(f) 90°

(g) 110°
(h) 120°
(i) 140°
(j) 150°
While teaching construction of angle, it will be better to demonstrate on the
board by using educational materials (protractor and ruler), and ask the students
to follow as classwork.
1.6 Angles less than and greater than 90°
The figure alongside is the figure of set square.
One of the angles of the set square is 90°.
Construct 90° by using protractor.
Place a set square as shown in the figure.
Adjust 90° corner of the set square just
over point O of ∠AOB and edges of the set
square along the side of the arms of the angle.
An angle of 90° is called a right angle.
Right angle, angles greater or less than right
angle can be recognized by using a set square.
Teaching Instructions:
Exercise 1.5
Q

10
My Mathematics, Grade 4
In the adjoining figure, arm OB of
∠AOB lies within the set square
as the base line of the set square is
adjusted along the arm OA. In such
case, ∠AOB is less than 90°. An angle
of size lesser than 90° is called an
acute angle.
In the adjoining figure, arm OB of
∠AOB lies outside the set square
as the base line of the set square is
adjusted along the arm OA. In such
case, ∠AOB is greater than 90°. An
angle of size greater than 90° is called
an obtuse angle.
Some angle’s size may be of two right
angles. Such angles are called straight
angles. The size of a straight angle is
180°. In the adjoining figure, arms
OA and OB of ∠AOB lie along the
bases of set squares (two set squares).
Therefore, ∠AOB = 180°. ∠AOB is a
straight angle.
1. Estimate which of the following angles is right, acute, obtuse

or straight angle. Use a set square to check your answer.

(a) (b) (c)
Exercise 1.6

My Mathematics, Grade 4
11

(d) (e) (f)
2. Name all angles in each figure below and classify them into obtuse,

acute or right angles.

(a)

(b)
3. Classify the angles formed by hands in each of the following

clocks into acute, right, obtuse and straight angle.

(a) (b) (c) (d)
Here, set squares are used to classify angles. Besides that protractor can
be used to measure angles. It will be appropriate to use paper cutting set
squares to classify angles into acute, right and obtuse angles. In order
to classify angles formed in objects found in the surrounding, ask the
students to collect such objects found in their surrounding.
Teaching Instructions:

12
My Mathematics, Grade 4
2.1 Origin of numbers
Our forefathers had no numerals
as we have today. They had
faced difficulty to live in the
absence of counting numerals.
What problems might they
have faced in the absence of
counting numerals?",0.6445,,,
EDU_0001_EDU_0002_00013,EDU_0001,EDU_0002,116,12,7.,"How did
they know if any sheep is lost
from the herd in the absence
counting numerals?",0.6445,,,
EDU_0001_EDU_0002_00014,EDU_0001,EDU_0002,128,13,"(i)
(ii)
(iii)
(iv)
(v)
(vi)
i.","Look at the
figure, did you know how they
used to count at that time?",0.7084,,,
EDU_0001_EDU_0002_00015,EDU_0001,EDU_0002,140,14,"Trace the surface of the following
objects in the exercise book.","They used to put sheep one by
one in the pen and would draw a tally mark for each sheep in the tree
or wall. This method continued for a long time. They might have used
one pebble for each object for counting because they faced difficulty
in drawing tally marks. This is only guess but tally marks are found
on the walls of the old caves at many places. After that, it is said that
people also used to make knots in the strings as the number of objects
they had.
After many years, people began to use their fingers for counting
numbers. They had not faced any difficulty to count twenty objects
using their fingers in hands and feet. It is difficult to say exactly when
counting was started in the history of human development. But it is
predicted that counting was started about fifty thousands years ago.
2
Concept of Numbers

My Mathematics, Grade 4
13

One object
Two objects
Three objects
There were different races in different countries and their development
histories were also different. Therefore, different races of the world
had developed their own counting numerals at different times. It took
place after thousands of years of origin of human beings.

I
II
III
IV
V
VI
VII
VIII
IX
X
The above numerals which were developed at the time of Roman
civilization are still in use. Where have you seen the use of these
numerals?",0.6444,,,
EDU_0001_EDU_0002_00016,EDU_0001,EDU_0002,152,15,"7 units

Exercise

My Mathematics, Grade 4
13
3.",Can you make a list?,0.6677,,,
EDU_0001_EDU_0002_00017,EDU_0001,EDU_0002,164,16,"Have you ever seen such objects in your surrounding
and public places?","The counting numerals, which we use at present, were developed first
by the Hindus. We are using the developed form of the numerals ),
!, @, #, $, %, ^, &, *, (= developed by the Hindus. Arabians spread
these numerals all over the world. So these numerals are called Hindu
Arabic numerals. The developed forms of numerals 0, 1, 2, 3, 4, 5, 6,
7, 8, 9 are used all over the world today.
Hindu Arabic numerals is also known as decimal system. In this
lesson, you will learn to read, write and count Hindu Arabic numerals.
Read and understand:
Number made by digit
Number
Number name
The smallest number of one digit
1
One
The smallest number of two digits
10
Ten
The smallest number of three digits
100
One hundred
The smallest number of four digits
1000
One thousand
The smallest number of five digits
10000
Ten thousands
The smallest number of six digits
100000
One lakh (One hundred

thousand)
The smallest number of seven digits
1000000
Ten lakh (Ten hundred

thousand)
The smallest number of eight digits
10000000
One crore

14
My Mathematics, Grade 4
1.
Write the place value of numeral 4 in the number 2345687, and

write its expanded form.
Solution:
Here, the given number is written in the place value table as follows:
Ten Lakhs Lakhs
Ten Thousands Thousands Hundreds Tens Ones

2
3
4
5
6
8
7
The numeral 4 is in the place of ten thousands in the place value
table. Therefore, the expanded form of 4 = 4 X 10,000 = 40,000 (Forty
thousands).
2.
Write 1258712 in expanded form.
Solution:
1258712
=
1 x 10,00,000 + 2 x 1,00,000 + 5 x 10,000 + 8 x 1,000 +

7 x 100 + 1 x 10 + 2 x 1

=
10,00,000 + 2,00,000 + 50,000 + 8,000 + 700 + 10 +2
1.
Write the place of 5

(a) 1,53,268
(b) 51,68,719
(c) 12,67,815

(d) 3,45,628
(e) 34,21,451
(f) 27,35,869
2.
Write in expanded form.

(a) 3, 25,614
(b) 19, 82,543
(c) 67, 89,123

(d) 67, 30,195
(e) 2, 00,465
(f) 70, 40,053
Example
Exercise 2.1

My Mathematics, Grade 4
15
Teaching Instructions:
2.2 Number up to crore
2.2 (a) Read, discuss and write in your copy.
Lakhs Ten Thousands Thousands Hundreds Tens One

3
6
5
2
4
8
3 is in the place of lakh. Therefore, the place value of 3 = 3 x 1,00,000
= 3,00,000 (three lakhs)
Lakhs Ten Thousands Thousands Hundreds Tens Ones

6
9
2
5
2
0
6 is in the place of lakh. Therefore, the place value of 6 = 6 x 1,00,000
= 6,00,000 (six lakhs)
6,92,520 = Six lakhs ninety two thousands five hundreds and twenty.
8,06,888 = Eight lakhs six thousands eight hundreds and eighty eight.
9,72,506 = Nine lakhs seventy two thousands five hundreds and six
Five lakhs thirty six thousands nine hundreds and twelve = 5,36,912.
Seven lakhs thirteen thousands and fifteen = 7, 13, 015.
Let the students remember the numeral names and use place value table
to give the concept of numbers up to lakh.
1.
Write the place value of 4.

(a) 3,54,032
(b) 3,45,032
(c) 4,35,032
(d) 3,50,432
2. Write the digits which are in place of lakhs.

(a) 2,54,321
(b) 5,63, 204
(c) 4,08,452
(d) 9,75,608
3.
Write the number name.

(a) 2,56,312
(b) 3,35,258
(c) 5,23,907
(d) 6,66,298
Exercise 2.2

16
My Mathematics, Grade 4
4.
Write the number

(a) One lakh sixty one thousands five hundreds and six

(b) Three lakhs twenty six thousands two hundreds and seventeen

(c) Five lakhs twenty seven thousands eight hundreds and twenty

(d) Nine lakhs seventy five thousands four hundreds and twenty two
2.2 (b) Read, discuss and write in your exercise book
What comes after lakh in the place value table?",0.6443,,,
EDU_0001_EDU_0002_00018,EDU_0001,EDU_0002,177,17,"The opposite surfaces of these objects are
equal.","Lakhs Ten Thousands Thousands Hundreds Tens
Ones

1
0
0
0
0
0
= One lakh
2
0
0
0
0
0
= Two lakhs

5
0
0
0
0
0
= Five lakhs

9
0
0
0
0
0
= Nine lakhs
Ten lakhs comes after nine lakhs.
Ten Lakhs
Lakhs Ten Thousands Thousands Hundreds
Tens
Ones

1
0
0
0
0
0
0 = Ten lakhs
Put 15,63,842 in place value table.
Ten Lakhs
Lakhs Ten Thousands Thousands Hundreds
Tens
Ones

1
5
6
3
8
4
2
One ten lakh and five lakhs = 15 lakhs
Therefore, 15,63,842 = Fifteen lakhs sixty three thousands eight
hundreds and forty two.
What comes
after 19 lakhs?",0.6445,,,
EDU_0001_EDU_0002_00019,EDU_0001,EDU_0002,189,18,"Also
find the number of vertices and edge.","20 lakhs comes
after 19 lakhs.

My Mathematics, Grade 4
17
20,16,857 = Twenty lakhs sixteen thousands eight hundreds and fifty seven.
Twenty five lakhs twenty six thousands six hundreds and fifty six
= 25,26,656
1. Write which digits are in the place of ten lakhs

(a) 12,23,345
(b) 15,25,904
(c) 21,22,608
(d) 29,17,892
2. Write the number name

(a) 15,27, 981
(b) 25,27,003
(c) 26,18,598
(d) 29,82,581
3. Write the number .

(a) Fifteen lakhs six thousands three hundreds and seventeen

(b) Twenty one lakhs sixteen thousands five hundreds and twenty seven

(c) Twenty four lakhs five thousands and fifteen

(d) Twenty nine lakhs eleven thousands two hundreds and thirty one
Tell students to write number and number name up to thirty lakhs by using
place value table.
2.2 (c) Read, discuss and write in your exercise book.
29,00,000 = Twenty nine lakhs.
If we add 1,00,000 in 29,00,000, the sum is 30,00,000.
Ten Lakhs
Lakhs Ten Thousands Thousands Hundreds
Tens
Ones

3
2
9
3
6
5
7
Three ten lakhs and two lakhs = thirty two lakhs
32,93,657 = Thirty two lakhs ninety three thousands six hundreds and
fifty seven.
39,01,500 = Thirty nine lakhs one thousand five hundreds.
45,42,396 = Forty five lakhs forty two thousands three hundreds and
ninety six.
Exercise 2.3
Teaching Instructions:

18
My Mathematics, Grade 4
Exercise 2.4
Ten
Thousand
48, 34, 673 = Forty eight lakhs thirty four thousands six hundreds
and seventy three
1.
Put the following numbers in place value table and write number names.
(a) 43,50,432

Ten Lakhs Lakhs Ten Thousands Thousands Hundreds Tens
Ones

4
3
5
0
4
3
2

Forty three lakhs fifty thousands four hundreds and thirty two.

(b) 35,78,045
(c) 36,48,810

(d) 39,82,847

(e) 44,87,627
(f) 46,72,345

(g) 48,02,212
2.
Write the number

(a) Thirty six lakhs eighty three thousands five hundreds and nine

(b) Forty seven lakhs seventy five thousands six hundreds and sixty

(c) Forty two lakhs twenty three thousands five hundreds and

eighty two

(d) Fifty lakhs sixty seven thousands nine hundreds and six
2.2 Read, Discuss and Write in your copy.

Ten Lakhs
Lakhs

Thousands Hundreds
Tens
Ones

5
1
0
0
0
0
0
Fifty one lakhs

5
9
0
0
0
0
0
Fifty nine lakhs

6
0
0
0
0
0
0
Sixty lakhs

6
9
0
0
0
0
0
Sixty nine lakhs

7
5
0
0
0
0
0
Seventy five lakhs

8
9
0
0
0
0
0
Eighty nine lakhs

9
9
0
0
0
0
0
Ninety nine lakh
83,82,653 = Eighty three lakhs eighty two thousands and six
hundreds fifty three

My Mathematics, Grade 4
19
Exercise 2.5
97,56,369 = Ninety seven lakhs fifty six thousands three hundreds
and sixty nine.
Fifty six lakhs twenty seven thousands nine hundreds and twelve = 56, 27,912.
Eighty two lakhs nine thousands six hundreds and thirty two = 82,09,632.
If we add 1 in 99,99,999, we get 1,00,00,000 (one crore).
1.
Fill the place value table and write number names as given in example.

(a) 59,16,713

Ten Lakhs Lakhs Ten Thousands Hundreds Tens
Ones

5
9
1
6
7
1
3

= Fifty nine lakhs sixteen thousands and seven hundreds thirteen

(b) 57,26,696
(c) 64,46,931
(d) 66,23,549
(e) 72,39,302

(f) 89,40,200
(g) 92,51,339
(h) 94,07,737
(i) 97,38,392
2.
Write the number .

(a) Fifty two lakhs six thousands and fifty three = 52, 06, 053

(b) Sixty three lakhs fifty six thousands and seventeen

(c) Seventy four lakhs nine thousands seven hundreds and twenty seven

(d) Eighty seven lakhs fifty five thousands four hundreds and

forty four
3.
Write in the interval of one lakh from 50,00,000 to 60,00,000.
4.
Write in the interval of ten lakhs from 30,00,000 to 90,00,000.
Teaching instructions:
Use place value table to give the concept of numbers up to one crore. Let
the students practise to write numbers and number names.

20
My Mathematics, Grade 4
2.3 Rounding off Numbers
Rounding off three digit numbers into the nearest hundred
Shila counted the money but there was only Rs. 19.
How much money
do you have
brother?",0.6445,,,
EDU_0001_EDU_0002_00020,EDU_0001,EDU_0002,201,19,"Write the name of the vertices, edges and faces of the solid
object given below.","I have about Rs.20.
How liar you are
brother!",0.8130,,,
EDU_0001_EDU_0002_00021,EDU_0001,EDU_0002,213,20,"base line
d.","It is easier for me to count the number
having zero at the end such as 10, 20,
30, 40, 50. The nearest number of 19
is 20. So, I said Rs. 20.
Look at the following number line.

0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
In the number line, number 19 is nearer to 20 but farther from 10.
Thus, the approach of writing any number in the form of the nearest
number having zero in the last digit such as 10, 20, 30, ………,100,
200, 300, ….. etc. is called rounding off numbers.
Numbers rounding off to the nearest 10 are: 10, 20, 30,…120, 130,…2350,
…etc.
Numbers rounding off to the nearest 100 are: 100, 200,……., 2300,……etc.
Teaching Instructions:
Make the students discuss the method of rounding off numbers to the
nearest ten and hundred by using number line.
Money with Raju
Far
Near
10
19 20

My Mathematics, Grade 4
21
Round off 23 to the nearest ten

20
21
22
23
24
25
26
27
28
29
30
23 is nearer to 20. So, 23 is rounded off to the nearest ten = 20.
Round off 567 to the nearest ten.

560
561
562
563
564
565
566
567
568
569
570
567 is nearer to 570. So, 567 is rounded off to the nearest ten = 570.
Round off 324 to the nearest hundred.

300
310
320
330
340
350
360
370
380
390
400
324 is nearer to 300. So, 324 is rounded off to the nearest hundred = 300.
Round off 566 to the nearest hundred.

500
510
520
530
540
550
560
570
580
590
600
566 is nearer to 600. So, 566 is rounded off to the nearest hundred = 600.
324
566
Example 1
Example 2
Example 3
Example 4

22
My Mathematics, Grade 4
Round off 15 to the nearest ten.

10
15
20
15 is exactly in the middle of 10 and 20. In practice, while rounding
off 15 to the nearest ten = 20.
Round off 250 to the nearest hundred.

200
250
300
250 is exactly in the middle of 200 and 300. In practice, while rounding
off 250 to the nearest hundred = 300.
1.
Round off the given numbers to the nearest ten.

(a) 44

40
41
42
43
44
45
46
47
48
49
50

44 is round off to 40 in the nearest ten.

(b) 16
(c) 12
(d) 125
(e) 276
(f) 561
(g) 672
2.
Round off the given numbers to the nearest hundred.

(a) 720

700
710
720
730
740
750
760
770
780
790
800

720 is round off to 720 in the nearest hundred.

(b) 390
(c) 550
(d) 450
(e) 1691
Example 6
Example 5
Exercsie 2.6

My Mathematics, Grade 4
23

(f) 6621
(g) 505
(h) 360 km
(i) 570 m.

(j) 145 cm.
3.
The given figure shows the distance from Kathmandu to Pokhara.

What is the distance in km from Kathmandu to Pokhara, Muglin

and Dumre?",0.6444,,,
EDU_0001_EDU_0002_00022,EDU_0001,EDU_0002,225,21,b) There are …sides in quadrilateral.,"round off to the nearest ten.

204 km 135 km
108 km

Pokhara
Dumre
Mugling
Kathmandu
2.4 Prime and composite numbers
Write the numbers from 1 to 20 in rows in order.

1
2
3
4
5
6
7
8
9
10

11
12
13
14
15
16
17
18
19
20
-
Encircle the number 1.
-
Cross out the numbers, which are divisible by 2, except 2. (For

example: 4, 6)
-
Cross out the numbers which are divisible by 3, except 3 e.g 6,9.
-
All the numbers, which are not crossed out in the above are prime

numbers. Which numbers are they ?",0.6444,,,
EDU_0001_EDU_0002_00023,EDU_0001,EDU_0002,237,22,"(i)
(ii)
A
B
C
D

My Mathematics, Grade 4
23
8.","Find which numbers exactly

divide. Let's try.
The number which is exactly divisible by 1 and itself is called a
prime number. For example: 2,3,5,7,11,13, etc.
The number which is exactly divisible by 1, itself and another
numbers is called a composite number. For example: 4,6,8,10, etc.

24
My Mathematics, Grade 4
Teaching Instructions:
2 12
2 6

3
12
2 x 6

2 x 3
Exercise 2.7
1.
How many prime and composite numbers are there from 1 to 25?",0.6444,,,
EDU_0001_EDU_0002_00024,EDU_0001,EDU_0002,250,23,Identify the bigger and the smaller angles of each figure.,"2.
Write numbers from 1 to 50 in row in order.

As done above encircle the number 1, cross out the numbers

exactly divisible by 2 except 2, cross out the numbers exactly

divisible by 3 except 3.

Similarly, keep on crossing out the numbers divisible by 5 and 7

How many prime numbers are there?",0.6445,,,
EDU_0001_EDU_0002_00025,EDU_0001,EDU_0002,262,24,15.,"Write all the prime numbers.

How many composite numbers are there?",0.6445,,,
EDU_0001_EDU_0002_00026,EDU_0001,EDU_0002,274,25,"Draw the rectangles of following measurement in the
M
N
O
P
X
Y
Z
A
B
C
D
A
B
C
D

My Mathematics, Grade 4
25
square grid given below.","Write all the composite

numbers.

How many prime numbers are there, which are greater than

30 and less than 50?",0.9511,,,
EDU_0001_EDU_0002_00027,EDU_0001,EDU_0002,286,26,iv.,"Add any two prime numbers from 1 to 50 except 2. What is the

nature of the sum ?",0.6444,,,
EDU_0001_EDU_0002_00028,EDU_0001,EDU_0002,298,27,"They utilized strokes traced on
the floor or walls to count the number of family members and
their domestic animals.","3.
Which is prime and composite number in 27 and 37?",0.7072,,,
EDU_0001_EDU_0002_00029,EDU_0001,EDU_0002,310,28,This number system is called decimal number system.,Why?,0.6444,,,
EDU_0001_EDU_0002_00030,EDU_0001,EDU_0002,322,29,"For example, students placed the
card in the bowl labelled ""one,
tens, hundreds,......ten lakhs"" in the
following order: 1,9,5,6,3,8,and 2.","Let the students practice in finding prime and composite numbers from 1
to 20 using chart. 1 is neither prime nor composite number.
2.5 Prime Factors
Factors from 1 to 99
What are the factors of 12?",0.8953,,,
